user_id,role_id
SN001,LEGACY_SD_LEAD
SN001,LEGACY_INC_ANALYST
SN002,LEGACY_SD_AGENT
SN003,LEGACY_SD_AGENT
SN003,LEGACY_SD_LEAD
SN004,LEGACY_SD_AGENT
SN005,LEGACY_SD_AGENT
SN006,LEGACY_INC_MGR
SN006,LEGACY_SD_LEAD
SN007,LEGACY_INC_MGR
SN007,LEGACY_INC_ANALYST
SN008,LEGACY_INC_ANALYST
SN009,LEGACY_INC_ANALYST
SN010,LEGACY_INC_ANALYST
SN010,LEGACY_SEC_OPS
SN011,LEGACY_CHG_MGR
SN012,LEGACY_CHG_COORD
SN013,LEGACY_CHG_MGR
SN013,LEGACY_AUDIT
SN014,LEGACY_CHG_COORD
SN015,LEGACY_CHG_COORD
SN015,LEGACY_CHG_MGR
SN016,LEGACY_PRB_MGR
SN017,LEGACY_PRB_ANALYST
SN018,LEGACY_PRB_ANALYST
SN018,LEGACY_INC_ANALYST
SN019,LEGACY_PRB_ANALYST
SN020,LEGACY_CMDB_ADMIN
SN021,LEGACY_CMDB_ANALYST
SN022,LEGACY_CMDB_ANALYST
SN022,LEGACY_CMDB_ADMIN
SN023,LEGACY_CMDB_ANALYST
SN024,LEGACY_CMDB_ANALYST
SN025,LEGACY_SVC_OWNER
SN026,LEGACY_SVC_OWNER
SN027,LEGACY_SLM
SN028,LEGACY_SVC_OWNER
SN028,LEGACY_SLM
SN029,LEGACY_SVC_OWNER
SN029,LEGACY_REQ_MGR
SN030,LEGACY_REL_MGR
SN031,LEGACY_REL_MGR
SN031,LEGACY_REL_ENG
SN032,LEGACY_REL_ENG
SN033,LEGACY_REL_ENG
SN033,LEGACY_CHG_COORD
SN034,LEGACY_REL_ENG
SN035,LEGACY_KM_ADMIN
SN036,LEGACY_KM_ADMIN
SN037,LEGACY_KM_ADMIN
SN038,LEGACY_KM_ADMIN
SN039,LEGACY_KM_ADMIN
SN039,LEGACY_IT_ADMIN
SN040,LEGACY_ASSET_MGR
SN041,LEGACY_ASSET_MGR
SN042,LEGACY_ASSET_MGR
SN043,LEGACY_ASSET_MGR
SN043,LEGACY_AUDIT
SN044,LEGACY_ASSET_MGR
SN045,LEGACY_REQ_MGR
SN046,LEGACY_REQ_MGR
SN046,LEGACY_SD_AGENT
SN047,LEGACY_REQ_MGR
SN048,LEGACY_REQ_MGR
SN049,LEGACY_REQ_MGR
SN049,LEGACY_SVC_OWNER
SN050,LEGACY_SEC_OPS
SN050,LEGACY_AUDIT
SN051,LEGACY_SEC_OPS
SN052,LEGACY_SEC_OPS
SN052,LEGACY_INC_ANALYST
SN053,LEGACY_SEC_OPS
SN054,LEGACY_SEC_OPS
SN055,LEGACY_IT_ADMIN
SN055,LEGACY_INC_MGR
SN056,LEGACY_IT_ADMIN
SN057,LEGACY_IT_ADMIN
SN058,LEGACY_IT_ADMIN
SN059,LEGACY_IT_ADMIN
SN060,LEGACY_IT_ADMIN
SN060,LEGACY_SLM
SN061,LEGACY_AUDIT
SN062,LEGACY_AUDIT
SN063,LEGACY_AUDIT
SN063,LEGACY_SEC_OPS
SN064,LEGACY_AUDIT
SN065,LEGACY_AUDIT
SN065,LEGACY_SEC_OPS
SN066,LEGACY_IT_ADMIN
SN067,LEGACY_IT_ADMIN
SN068,LEGACY_IT_ADMIN
SN069,LEGACY_IT_ADMIN
SN070,LEGACY_IT_ADMIN
SN070,LEGACY_AUDIT
SN071,LEGACY_SLM
SN072,LEGACY_SLM
SN073,LEGACY_SLM
SN074,LEGACY_REQ_MGR
SN074,LEGACY_ASSET_MGR
SN075,LEGACY_REQ_MGR
SN076,LEGACY_REQ_MGR
SN076,LEGACY_AUDIT
SN077,LEGACY_SD_AGENT
SN078,LEGACY_SD_AGENT
SN079,LEGACY_INC_ANALYST
SN080,LEGACY_CHG_COORD
SN081,LEGACY_PRB_ANALYST
SN082,LEGACY_CMDB_ANALYST
SN083,LEGACY_REL_ENG
SN084,LEGACY_KM_ADMIN
SN085,LEGACY_ASSET_MGR
SN086,LEGACY_REQ_MGR
SN086,LEGACY_SD_AGENT
SN087,LEGACY_SEC_OPS
SN088,LEGACY_IT_ADMIN
SN089,LEGACY_AUDIT
SN090,LEGACY_IT_ADMIN
SN091,LEGACY_SD_AGENT
SN092,LEGACY_INC_ANALYST
SN093,LEGACY_CHG_COORD
SN094,LEGACY_CMDB_ANALYST
SN094,LEGACY_CMDB_ADMIN
SN095,LEGACY_SLM
SN096,LEGACY_REL_ENG
SN097,LEGACY_KM_ADMIN
SN098,LEGACY_ASSET_MGR
SN099,LEGACY_SEC_OPS
SN099,LEGACY_AUDIT
SN100,LEGACY_AUDIT
SN100,LEGACY_SEC_OPS
