user_id,role_id
ORA001,EBS_PO_MANAGER
ORA001,EBS_PO_BUYER
ORA002,EBS_OM_CLERK
ORA002,EBS_PO_MANAGER
ORA003,EBS_AR_MANAGER
ORA003,EBS_AP_CLERK
ORA004,EBS_INV_MANAGER
ORA004,EBS_INV_CLERK
ORA005,EBS_GL_ACCOUNTANT
ORA005,EBS_AR_CLERK
ORA006,EBS_FA_ACCOUNTANT
ORA006,EBS_AP_CLERK
ORA007,EBS_AR_CLERK
ORA007,EBS_HR_MANAGER
ORA008,EBS_PO_BUYER
ORA008,EBS_PO_MANAGER
ORA009,EBS_AP_CLERK
ORA009,EBS_AR_MANAGER
ORA010,EBS_PO_BUYER
ORA010,EBS_PO_MANAGER
ORA011,EBS_HR_MANAGER
ORA011,EBS_HR_CLERK
ORA011,EBS_PAY_CLERK
ORA012,EBS_WIP_PLANNER
ORA013,EBS_SYSADMIN
ORA014,EBS_WIP_PLANNER
ORA015,EBS_PAY_CLERK
ORA016,EBS_INV_MANAGER
ORA016,EBS_INV_CLERK
ORA017,EBS_PAY_CLERK
ORA017,EBS_HR_CLERK
ORA017,EBS_HR_MANAGER
ORA017,EBS_AP_MANAGER
ORA018,EBS_SYSADMIN
ORA019,EBS_GL_CONTROLLER
ORA019,EBS_AP_CLERK
ORA019,EBS_HR_MANAGER
ORA020,EBS_AR_CLERK
ORA020,EBS_AP_CLERK
ORA020,EBS_AP_MANAGER
ORA021,EBS_HR_CLERK
ORA022,EBS_INV_CLERK
ORA022,EBS_INV_MANAGER
ORA023,EBS_FA_ACCOUNTANT
ORA024,EBS_PO_BUYER
ORA024,EBS_PO_MANAGER
ORA024,EBS_AP_MANAGER
ORA025,EBS_AP_CLERK
ORA025,EBS_AP_MANAGER
ORA026,EBS_GL_ACCOUNTANT
ORA027,EBS_WIP_PLANNER
ORA028,EBS_AP_MANAGER
ORA028,EBS_GL_CONTROLLER
ORA029,EBS_PO_BUYER
ORA029,EBS_PO_MANAGER
ORA030,EBS_AP_CLERK
ORA030,EBS_AP_MANAGER
ORA031,EBS_AP_CLERK
ORA031,EBS_AR_CLERK
ORA031,EBS_AP_MANAGER
ORA032,EBS_AR_CLERK
ORA032,EBS_AP_CLERK
ORA032,EBS_AP_MANAGER
ORA033,EBS_AP_MANAGER
ORA033,EBS_AR_CLERK
ORA034,EBS_WIP_PLANNER
ORA035,EBS_PAY_CLERK
ORA035,EBS_HR_MANAGER
ORA036,EBS_AP_CLERK
ORA037,EBS_SYSADMIN
ORA038,EBS_WIP_PLANNER
ORA039,EBS_PAY_CLERK
ORA039,EBS_OM_MANAGER
ORA040,EBS_AP_MANAGER
ORA041,EBS_SYSADMIN
ORA042,EBS_INV_MANAGER
ORA042,EBS_INV_CLERK
ORA043,EBS_OM_MANAGER
ORA043,EBS_OM_CLERK
ORA044,EBS_GL_ACCOUNTANT
ORA044,EBS_CM_ANALYST
ORA044,EBS_AP_MANAGER
ORA045,EBS_SYSADMIN
ORA046,EBS_WIP_PLANNER
ORA047,EBS_PO_MANAGER
ORA048,EBS_GL_ACCOUNTANT
ORA048,EBS_FA_ACCOUNTANT
ORA048,EBS_AP_MANAGER
ORA049,EBS_QA_INSPECTOR
ORA050,EBS_PO_MANAGER
ORA050,EBS_PO_BUYER
ORA051,EBS_PO_BUYER
ORA051,EBS_PO_MANAGER
ORA052,EBS_PAY_CLERK
ORA052,EBS_HR_MANAGER
ORA052,EBS_HR_CLERK
ORA052,EBS_INV_MANAGER
ORA053,EBS_WIP_PLANNER
ORA054,EBS_PO_BUYER
ORA054,EBS_PO_MANAGER
ORA055,EBS_OM_MANAGER
ORA055,EBS_OM_CLERK
ORA056,EBS_HR_CLERK
ORA056,EBS_PAY_CLERK
ORA057,EBS_OM_MANAGER
ORA057,EBS_OM_CLERK
ORA058,EBS_INV_CLERK
ORA058,EBS_INV_MANAGER
ORA059,EBS_PO_MANAGER
ORA059,EBS_PO_BUYER
ORA060,EBS_OM_MANAGER
ORA060,EBS_OM_CLERK
ORA061,EBS_GL_CONTROLLER
ORA061,EBS_FA_ACCOUNTANT
ORA062,EBS_AP_MANAGER
ORA062,EBS_AP_CLERK
ORA063,EBS_INV_CLERK
ORA063,EBS_INV_MANAGER
ORA064,EBS_INV_MANAGER
ORA065,EBS_AP_CLERK
ORA065,EBS_AR_CLERK
ORA065,EBS_AP_MANAGER
ORA066,EBS_WIP_PLANNER
ORA067,EBS_WIP_PLANNER
ORA068,EBS_QA_INSPECTOR
ORA069,EBS_SYSADMIN
ORA070,EBS_AR_MANAGER
ORA070,EBS_CM_ANALYST
ORA071,EBS_WIP_PLANNER
ORA072,EBS_HR_MANAGER
ORA073,EBS_GL_ACCOUNTANT
ORA073,EBS_AP_CLERK
ORA073,EBS_AR_CLERK
ORA074,EBS_FA_ACCOUNTANT
ORA075,EBS_INV_MANAGER
ORA075,EBS_INV_CLERK
ORA075,EBS_HR_MANAGER
ORA076,EBS_AP_MANAGER
ORA077,EBS_AR_CLERK
ORA077,EBS_AP_CLERK
ORA078,EBS_PO_BUYER
ORA078,EBS_PO_MANAGER
ORA079,EBS_QA_INSPECTOR
ORA080,EBS_AR_CLERK
ORA081,EBS_INV_CLERK
ORA081,EBS_INV_MANAGER
ORA082,EBS_QA_INSPECTOR
ORA083,EBS_QA_INSPECTOR
ORA083,EBS_INV_MANAGER
ORA084,EBS_AR_CLERK
ORA084,EBS_CM_ANALYST
ORA085,EBS_PO_MANAGER
ORA085,EBS_PO_BUYER
ORA086,EBS_AR_CLERK
ORA087,EBS_PO_BUYER
ORA088,EBS_GL_ACCOUNTANT
ORA089,EBS_WIP_PLANNER
ORA090,EBS_SYSADMIN
ORA091,EBS_AR_CLERK
ORA092,EBS_PO_MANAGER
ORA092,EBS_PO_BUYER
ORA093,EBS_AP_CLERK
ORA093,EBS_FA_ACCOUNTANT
ORA093,EBS_GL_CONTROLLER
ORA094,EBS_PO_BUYER
